,comment,position
0,"['这些', '年', '也', '用', '过', '不少', 'U盘', '还是', '觉得', '金士顿', '质量', '最好', '耐用', '趁', '活动', '买', '的', '便宜', '一些', '金属', '质地', '手感', '超好', '很', '小巧', '还好', '送', '了', '绳子', '不', '容易', '丢', '防伪', '查过', '是', '正品', '实际', '容量', '144G', '传输速度', '也', '不错', '关键', '是', '耐用', '很', '喜欢']",传输速度也不错
1,"['金士顿', 'U盘', '口碑', '很', '好', '所以', '买', 'U盘', '必定', '是', '首选', '咯选', '了', '两款', 'U盘', '都', '不错', '物流', '也', '快', '不过', '就是', '需要', '自己', '格式化', '一下', '更改', '格式', '要不然', '大于', '2G', '的', '视频', '存', '不', '进去', '金属', '那款', '更', 'mini', '哈哈', '特意', '放', '了', '个', '眼药水', '这样', '能', '看到', '实际', '大小', '感觉']",物流也快
2,"['U盘', '实际', '内存', '144', '读写', '速度', '很快', '正品', '没', '的', '说', 'U盘', '精致', '小巧', '美中不足', '就是', '不送个', '保护套', '还有', '用', '完', '之后', '拔出', 'U盘', '金属外壳', '上', '有', '轻微', '划痕', '物流', '客服', '也', '都', '还行', '总体', '还是', '不错']",读写速度很快
3,"['u', '盘', '是', '正品', '然后', '传输速度', '也', '还', '可以', '就是', '大', '文件', '写入', '速度', '稍微', '慢', '了', '点', '另外', '就是', '使用', '的', '时候', '好', '烫', '啊', '～', '然后', '其他', '的', '都', '挺', '满意', '的', '小巧', '精致', '容易', '正常', '总体', '来说', '还是', '挺', '好', '的', '最后', '谢谢', '两位', '客服', '夏天', '棒棒', '哒', '丽']",然后传输速度也还可以
4,"['还是', '觉得', '金士顿', '质量', '最好', '耐用', '趁', '活动', '买', '的', '便宜', '一些', '金属', '质地', '手感', '超好', '很', '小巧', '还好', '送', '了', '绳子', '不', '容易', '丢', '防伪', '查过', '是', '正品', '实际', '容量', '144G', '传输速度', '也', '不错', '关键', '是', '耐用', '很', '喜欢']",传输速度也不错
5,"['不错呀', '很', '小巧', '快递', '也', '很快', '就是', '物流', '包裹', '那个', '包装纸', '啊', '被', '踩', '的', '都', '是', '脚印', '脏脏', '的', '建议', '完善', '包装', '～']",快递也很快
6,"['呐', '东西', '应该', '是', '真的', '暂时', '还', '没用', '不', '清楚', '读写', '速度', '啥', '的', '很', '想', '吐', '槽', '这个', '包装', '的', '鸡汤', '就是', '物流', '有点', '慢', '快递', '小哥', '还是', '很', '不错', '的', '整体', '好评', '吧']",快递小哥还是很不错的
7,"['u', '盘', '挺', '好', '的', '很小', '很', '方便', '金属', '壳', '外观', '很酷', '用', '尺子', '量', '了', '一下', '大小', '供', '大家', '参考', '卖家', '发货', '速度', '快', '快递', '也', '很快', '客服', '很', '有', '耐心', '送', '了', '小绳', 'u', '盘', '唯一', '的', '缺点', '就是', '不', '防尘']",卖家发货速度快 快递也很快
8,"['U盘', '很', '好', '是', '正品', '还有', '十四点', '四', 'G', '可用', '空间', '快递', '速度', '给力', 'U盘', '也', '很', '玲珑', '小巧', '送', '了', 'U盘', '套', '和', '吊绳', '嘻嘻', '～', '满分']",快递速度给力
9,"['宝贝', '收到', '了', '很', '好', '用', '虽然', '网上', '也', '有', '便宜', '的', '但', '还是', '比较', '相信', '旗舰店', '里', '的', '东西', '快递', '很快', '正好', '要', '用到', '的', '时候', '优盘', '就', '到', '了', '有', '需要', '会', '回购', '的']",快递很快
10,"['U盘', '很', '好', '物流', '也', '快', '不过', '就是', '需要', '自己', '格式化', '一下', '更改', '格式', '要不然', '大于', '2G', '的', '视频', '存', '不', '进去', '刚', '开始', '还', '以为', 'U盘', '的', '毛病', '呢', '现在', '解决', '了', '好评']",物流也快
11,"['物流', '超快', '的', '上', '一个', 'u', '盘', '就是', '这家', '店', '买', '的', '然后', '丢', '了', '重新', '买', '了', '一个', '发了', '誓要', '好好', '保护', '这个', '优盘']",物流超快的
12,"['很', '小巧', '适合', '栓', '在', '钥匙扣', '上', '很', '方便', '而且', '读取', '速度', '快', '旗舰店', '的', '东西', '挺', '好', '的', '总之', '就是', '不错']",而且读取速度快
13,"['速度', '快', '啊', '好', '漂亮', '小巧', '精致', '大学生', '必备', '神器']",速度快啊
14,"['东西', '不错', '是', '正品', '我', '非常', '喜欢', '反应速度', '也', '很快', '希望', '质量', '也', '可以', '我会', '追评', '的']",反应速度也很快
15,"['特地', '用', '了', '几天', '才', '来', '评价', '的', '内存', '144G', '也', '没有', '评论', '里面', '说', '的', '用', '过', '一段时间', '就', '发热', '什么', '的', '传', '文件', '也', '挺快', '的', '很', '好', '值得', '购买', '哦']",传文件也挺快的
16,"['不错', '是', '正品', '144G', '买来', '之后', '帮', '暗恋', '的', '女生', '拷', '了', '虚拟机', '、', '装', '了', '应用', '还', '不错', '就', '是从', '电脑', '拷', '2G', '镜像', '包', '文件', '到', 'U盘', '大概', '要', '15', '分钟', '有点', '慢', '啊', '不过', '从', 'U盘', '拷到', '电脑', '挺快', '的', '只要', '1', '分钟', '总体', '来说', '还', '不错', '小巧', '携带方便']",不过从U盘拷到电脑挺快的
17,"['挺', '精致', '的', '漂亮', '东西', '不错', '速度', '超快', '比', '想象', '中', '的', '快', '多', '了', '还', '担心', '节前', '收不到', '呢']",速度超快
18,"['宝贝', '挺', '好', '的', '买来', '就', '试试', '了', '速度', '挺快', '的', '刚', '买', '过', '就', '降价', 'ltemgt', '了', '物流', '速度', '也', '很快', '快递', '非常', '给力', '直接', '送到', '楼上']",速度挺快的 ，刚买过<em>就降价</e
