id,position,rateContent,rateDate,tamllSweetLevel
313104300342,传输速度也够快 反应挺快的,，<b>传输速度也够快</b>，东西不错，正品，价格便宜，性价比很高，颜色清晰无色差，<b>反应挺快的</b>，看着质量不错,2017-06-07 01:56:43,0
310611555036,速度快 与商家 物流好,u盘收到非常不错。内存14.4左右够用啦。<b>速度快</b>，样式小巧玲珑好看，盖子也牢固。感觉价钱不贵，实物<b>与商家</b>描述的相符。发货快，<b>物流好</b>，商家态度好，值得购买，全五星推荐！我已收藏了此店铺，有需要还会光临的。,2017-05-16 14:21:58,0
310899821416,存取速度快,U盘很好用，样子也好看，<b>存取速度快</b>，送的挂绳也不错，好评现在买到16g的也是这个价，挺精致的，盖子盖的很紧，用的时候可以盖尾巴上，省的丢来丢去丢没了,2017-05-16 20:15:33,2
314969500359,快递很快,<b>快递很快</b>  宝贝 很满意 买了几天才来评价 我是新手 买上是存一些短视频让孩子们学东西的  买的时候很怕优盘的套盖用丢了  犹豫了很久 买到了才发现直接套在后面养成习惯 担心是多余的  不用的时候套上放在包里肯定比不带盖子防尘  塑料磨砂质感感觉也挺结实的 应该摔不坏 从一个菜鸟到学习下载视频 在到学习转化到EVD格式上  看着优盘指示灯闪烁的样子 在听到任务已完成的提示音 感觉自己很有成就感,2017-06-23 20:05:11,2
313131890672,物流速度很快哦 发货速度非常快 常仔细、严实,"各方面都挺好的 用手机试过 还可以 挂饭卡上访掉优盘外形很简洁，容量大概14.4G，平时办公打印用，感觉还不错。<b>物流速度很快哦</b>，包装也很好，总共是14.4G。。质量很好，而且价格又 实惠，简直是出乎我的想象啊，很满意的一次购物，与卖家描述的完全一致，非常满意,完全超出期望值，<b>发货速度非常快</b>，包装非<b>常仔细、严实</b>，物流公司服务态度很好，运送速度很快，还会再来的。",2017-06-07 18:44:41,3
310316903121,速度挺快显示正常,挺好的，记得五六年前都是买4G的盘，都要40块了。现在买到16g的也是这个价，挺精致的，盖子盖的很紧，用的时候可以盖尾巴上，省的丢来丢去丢没了。用了一次，<b>速度挺快显示正常</b>。好评,2017-05-11 19:02:17,2
313010690155,"920-11-0,3;920-11-35,41;420-11-42,47;220-11-10,20;1020-11-4,9;",很不错，扫码是正品，和包装上的信息相符合，主要是冲着送的数据线才买的，数据线很不错，充电更快了,2017-06-05 16:36:28,2
313805809609,感觉读写速度还可以的,特地下了软件鉴定，提好的，因为就存屁屁踢什么的，没存过电影，<b>感觉读写速度还可以的</b>，看图。剩余容量符合标准,2017-06-13 10:24:51,2
312320991790,传输速度也够快,说实话很漂亮，做系统用刚刚好。储存类的还是靠移动硬盘。这种的做系统的话用起来不错，<b>传输速度也够快</b>。五星好评。,2017-05-31 13:10:16,3
315058589840,"620-12-0,4;920-11-15,19;920-11-5,9;920-11-20,24;520-11-25,29;420-11-35,38;10120-11-31,34;",宝贝收到，U盘不错、汽车上用、大小适中、插拔方便、价廉物美。 服务好，速度快,2017-06-24 01:25:40,1
311297677490,速度也是非常快的,很漂亮 小仙女必备 试了一下 <b>速度也是非常快的</b> 容量对于学生平时做个作业来说是够用的 推荐噢,2017-05-20 13:06:02,0
313854857405,聚划算里最快收到的快递,<b>聚划算里最快收到的快递</b>！相信会是正品，使用以后再来追家评论！,2017-06-14 14:48:08,2
310125463445,快递1天到特别快,超可爱的啊，小巧又非常有质感。<b>快递1天到特别快</b>！磨砂的特别舒服，送了挂绳希望不会再丢了&hellip;&hellip;已经掉了两个了心疼&hellip;&hellip;最后100分好评，卖家服务态度特别好！谢谢卖家祝生意兴隆！,2017-05-10 18:00:33,2
311111707661,输也比较快 物流很快,<b>输也比较快</b>，外观质量好，看起来应该是正品，颜色木有色差，<b>物流很快</b>，外观质量好，东芝正品，价钱超合适，性价比高，没有色差,2017-05-19 21:49:18,2
313570774950,物流很快 存取很快,<b>物流很快</b>，带个帽，<b>存取很快</b>，有14多g内存，学生党用，还可以，性价比也比较高，送了绳，,2017-06-09 17:10:40,0
309715903526,而且读写速度很快,是正品，<b>而且读写速度很快</b>，我主要用它做u盘启动盘，给电脑装系统用，16g足够了。,2017-05-08 00:11:04,2
314411301317,速度挺快 次再来，颜,已经在用了，<b>速度挺快</b>，哈哈下<b>次再来，颜</b>色清爽，传输速度快,2017-06-18 12:49:42,3
309296203979,物流超快,<b>物流超快</b>，东西很小巧，就是查的防伪我就不知道是什么意思了，求大神解释，这是东芝的正品吗？,2017-05-04 12:55:31,0
309355425190,快也很快,航空快递两天就到手里，<b>快也很快</b>，包装，整个应该是原装东芝的送了一条很长的绳子，能用吧，够用就行，又怕,2017-05-03 19:37:40,4
313228263437,物流很快,防伪码扫了是正品，很漂亮，也很精致，内存也是够的，<b>物流很快</b>，性价比高,2017-06-07 13:01:08,2
314391584363,物流挺快的,才拿到货，<b>物流挺快的</b>，宝贝，目前在使用中r功能适用宝贝挺不错的，嗯，试了试用好再评论。好的话会继续过来都。,2017-06-16 21:18:39,2
307649568038,速度也挺好,很满意，很满意！第一次抱着试试的心态查防伪，是正品。容量没问题，<b>速度也挺好</b>，OTG头试了一下完全okay，好评！客服态度也好～,2017-04-16 21:44:01,1
313081813233,电脑识别也很快,超闪速发货，隔天就到了！很好用，<b>电脑识别也很快</b>，非常棒！很喜欢小巧的,2017-06-06 14:30:57,2
310137479894,复制文件爷挺快的,宝贝挺好，<b>复制文件爷挺快的</b>，颜色挺漂亮，比较精致，好评,2017-05-10 16:56:45,3
311238333998,下载速度快,很好，今天刚刚试了一下，<b>下载速度快</b>，款式也好看，喜欢，特地也应了一下是正品的哦！,2017-05-20 13:57:19,2
311796605102,物流太给力了 超快,宝贝已收到，<b>物流太给力了</b>，<b>超快</b>，宝贝也非常的给力，OTG功能太方便了，直接对接手机，省了好多事，客服更是棒棒哒，非常耐心的教使用流程，给店家满分！,2017-05-24 11:15:29,0
308660804020,快递也很速度,正品，好用。之前买了一款要拷13G的视频，拷进去全部无法读取！再退货换到这家买这个U盘的，虽然存取速度有点慢，但能正常读取。<b>快递也很速度</b>。 好,2017-04-26 19:46:01,2
314956881027,物流给力,宝贝包装严实，质量很好，颜色漂亮，很喜欢。卖家服务态度好，<b>物流给力</b>。,2017-06-23 08:53:16,3
310265453659,快递也很快,不错 挺好的 里面有14.4个G 应该够用了 <b>快递也很快</b> 价格实惠,2017-05-11 13:31:38,0
306737009884,快递速度快,<b>快递速度快</b>，包装完好，拆出来还有内包装，感觉很不错，与描述得相符。刚收到，还没用，用了之后再来追加评价。,2017-04-10 12:26:20,0
313097562425,物流给力,正品好用，质量不错，<b>物流给力</b>，服务到位！,2017-06-05 18:32:46,0
307333005661,运行速度也快,这次是二次购买 质量不错，外观漂亮，已经用过啦 容量也还可以 稳定性强 <b>运行速度也快</b> 包装完好，发货快速，很满意。,2017-04-14 16:47:02,4
311328879568,物流也快的,帮单位里买的，很实用，比实体店便宜，很满意，<b>物流也快的</b>。,2017-05-22 10:02:53,3
311587021217,"420-11-13,17;520-11-4,7;620-11-0,3;920-11-8,12;",东西好，又实惠，值得购买，物流也快,2017-05-23 05:18:11,0
311747716839,传电影之类的挺快,"还可以，实际只有14.4G,<b>传电影之类的挺快</b>，我也只是大多数传个电影而已，满意！",2017-05-25 18:22:44,2
312489331256,物流很快,很好看，实际容量14g多，对于我来说够用了。<b>物流很快</b>，不错,2017-05-30 19:43:25,0
311236632458,物流挺快,宝贝挺好的，外形美观。<b>物流挺快</b>，满意满意满意满意,2017-05-21 05:39:13,0
312783706628,物流真的好快,表白快递小哥 <b>物流真的好快</b> 第二次购买了 很满意哦,2017-06-03 14:34:08,0
314993466360,送货及时,挺好的，<b>送货及时</b>，u盘外观还行，能用就好,2017-06-22 19:16:03,2
310899821417,存取速度快,U盘很好用，样子也好看，<b>存取速度快</b>，送的挂绳也不错，好评现在买到16g的也是这个价，挺精致的，盖子盖的很紧，用的时候可以盖尾巴上，省的丢来丢去丢没了,2017-05-16 20:15:33,2
310964357506,发货很给力 物流也很好,真心不错哦！ 实际有14.4g的内存，挺好的。<b>发货很给力</b>，<b>物流也很好</b>，还特意打电话告诉我东西送到楼下别忘了取，好评,2017-05-19 08:12:35,4
309503847767,速度也快,好用，拷文件啥的完全没问题，<b>速度也快</b>，值得购买。,2017-05-05 11:22:05,2
310203084200,U盘读写速度很快 卖家发货很快 物流配送给力,<b>U盘读写速度很快</b>，比较稳定，希望能用得住。<b>卖家发货很快</b>，<b>物流配送给力</b>。5分好评。,2017-05-11 21:57:49,4
315170797980,物<em>流给力 卖家发货,宝贝质量不错，物流给力，<b>卖家发货</b>速度神速，快递给力。满意，五分,2017-06-24 21:52:22,1
311502238950,关键是物流特别快,服务挺好，<b>关键是物流特别快</b>，看到东西后特别满意，以后还会光顾的！,2017-05-23 07:43:01,0
312584437088,速度很快,很好用的u盘，<b>速度很快</b>，也很小巧,2017-06-02 10:04:42,0
313477327219,物流给力,货已收到，<b>物流给力</b>，期待用后效果好吧,2017-06-10 15:27:22,0
308754715427,"420-11-14,19;920-11-0,6;920-11-7,12;",用起来挺好的，样式也好看。 快递也给力,2017-04-28 21:29:10,0
308598568118,物流速度超快我很满意,宝贝很好是正品，<b>物流速度超快我很满意</b>，下次还到你家买,2017-04-27 06:56:12,2
313406098432,速度还挺快的,超级好！！！！！！！！<b>速度还挺快的</b>！！！！！！小巧方便！！！！！！！！！喜欢！！！！！,2017-06-09 21:45:07,0
312874927411,快递很给力,<b>快递很给力</b>，东西更给力，简单实用，内存足够用了，双击666,2017-06-05 14:50:53,0
314718116041,快递给力,<b>快递给力</b>，产品好，支持购买，正品,2017-06-20 15:27:40,4
308963128320,"920-11-0,3;920-11-13,18;420-11-19,27;",很棒哦，实际有14.4G，很小巧可爱，快递的速度超级快,2017-04-30 18:41:39,1
306721044898,插上显示也<em>超快的</em,特别好 插上显示也超快的&lt;/em&gt; 发货快物流也快,2017-04-10 11:13:52,2
310224676327,快递很快,非常满意，性价比很高，包装很好，<b>快递很快</b>。,2017-05-11 14:40:27,3
314326220365,物流快,帮同事买的，非常喜欢，服务好，昨天买今天就到了，<b>物流快</b>，祝商家生意兴隆,2017-06-18 09:56:39,0
310330265427,发货快</em<em>>，品质好,发货快，品质好，好用，传文件很快！,2017-05-14 04:43:21,3
310597845077,快递速度也挺快的,东西很好，包装也很好，<b>快递速度也挺快的</b>，必定5星好评。,2017-05-15 13:14:25,1
304851382097,读盘挺快,一点就亮。14.4，fat32，<b>读盘挺快</b>，塑料手感略显廉价，盖子紧，拔的时候要用点力，性价比高。,2017-03-24 16:24:13,0
308586143209,快递也很及时,特地用了一下才评价的，不错，容量是14.4G，挺好用，<b>快递也很及时</b>，好评！ 服务也不错,2017-04-27 19:20:57,1
307100529373,发货也<em>没的说,卖家服务非常好，下了订单就来确认信息，发货也没的说，非常快，几乎一天就到了，淘宝买东西这么多次，冲着这个服务五星好评,2017-04-13 09:26:36,0
306613277488,读写速度快,质量很好，<b>读写速度快</b>，价格适中，大品牌值得信任！,2017-04-07 19:35:12,3
305410732967,不得不说快递挺快,东西收到好几天了，<b>不得不说快递挺快</b>，总体还好吧，内存说是16G实际14.44G，我主要是放一些学习的课件，用着挺好的,2017-03-26 20:40:55,0
301983702093,<em>发货快 很方便，还送,包装严实，发货快，物流快。U盘查询过，是正品，电脑鉴定显示其内存为14.34，符合包装说明中的最小存储容量。材质是塑料但感觉挺结实的，盖子也不会松动。轻盈小巧，携带<b>很方便，还送</b>了吊绳。到货就可以使用，传输速度还行。有质量保证，客服态度挺好。,2017-02-25 17:29:43,0
307956395328,物流速度很快,很开心的一次购物，原本不敢买，还不错，<b>物流速度很快</b>，下次有需要还会来买，14.4G够用了,2017-04-21 09:32:19,0
305037651919,到货快,格式化后再鉴定了一下：容量基本够。试用了一下：比较满意：五分。 包装好，<b>到货快</b>，满意。,2017-03-23 20:17:57,1
310289506820,<em>发货快,挺好的，比我买的8g的还便宜还好用，发货快，物流快，赞,2017-05-13 16:55:36,2
312753094156,物流很快,u盘不错，<b>物流很快</b>，东西也很小巧,2017-06-04 09:30:04,2
313979268184,"920-11-0,2;420-11-8,14;",很好，手机能用，物流很快满意,2017-06-13 21:16:51,2
304958900107,传输挺快的,还不错，我买的是白色的，个人挺喜欢的。内存14G多，<b>传输挺快的</b>。挺好的东西，值得购买,2017-03-23 14:02:10,0
303772172430,物流迅速,<b>物流迅速</b>，质量不错，使用携带便利。总体来说，还不错。。。,2017-03-14 14:58:11,0
309786074025,物流很快,u盘收到，<b>物流很快</b>，服务很好，好评。,2017-05-07 08:05:03,0
308153803201,数据传输很快,好用，<b>数据传输很快</b>，不错，除了内存小了一些之外都很好,2017-04-23 14:48:58,2
303338694078,快递速度比较快<em>,宝贝不错，包装很好，是原装的，快递速度比较快，满意。给卖家和快递点赞。,2017-03-10 19:14:39,0
313906902547,发货速度很快 u盘有1,<b>发货速度很快</b>，<b>u盘有1</b>4.4g，反应很快，一插进电脑就能检测到，刚用觉得还不错，不知道传输大文件效果怎样，也不知道能用多久，目前很满意,2017-06-12 13:05:11,2
301981799402,读写速度也很好,U盘的质量看起来不错，<b>读写速度也很好</b>，总容量大概有14G，OTG转接头比较实用，可以在手机上查看文件。推荐购买,2017-02-23 12:57:48,0
308036233203,速度很快啊,<b>速度很快啊</b> 挂绳也很好用，推荐推荐！！！,2017-04-23 12:26:14,3
304051942847,物流也给力昨天下单今天就到了,产品很好，<b>物流也给力昨天下单今天就到了</b>，长安欧尚可以用，卖家服务态度很好，赞一个,2017-03-14 14:51:08,0
302797675290,必须要说物流很快啊,<b>必须要说物流很快啊</b>，两天就到了，其他的看评价已经了解的差不多了，看包装也不像是假的，平时只是传一传小文档对速度也没有多大要求，总之好评啦！,2017-03-04 18:31:27,0
302754332108,0的快,U盘非常好，价格合适，用了之后感觉不错，就是没有3.<b>0的快</b>，不过一分价钱一分货，够用了,2017-03-04 14:06:19,0
304221755105,写的速度快,品牌质量不错，U盘空间实在，不虚存，不掉资料，读的速度慢，<b>写的速度快</b>，价位也不贵，希望长期使用时质量能保证。,2017-03-17 09:12:33,3
302310712365,读写速度还可以,很不错，<b>读写速度还可以</b>，内存够用，主要是便宜，实惠。,2017-02-27 15:32:32,3
303153070216,物流很快包装很好,<b>物流很快包装很好</b>，外观也挺好的，检查发现内存也够大，日后回来追评吧,2017-03-07 11:22:04,0
302229109758,读取也快,U盘不错，不是假盘，扫了一下是正品，<b>读取也快</b>！,2017-02-27 09:44:56,0
305547400743,物流也很快,不错，质量很好，<b>物流也很快</b>，5星好评,2017-03-30 15:52:46,1
313999325220,用软件测速的速度是没问题的,嗯，帮同学买的，嗯，不错，白色的外观比较喜欢。哦唯一缺点就是usb2.0的&hellip;不太会用，我复制电影的速度老是上不去。当然，<b>用软件测速的速度是没问题的</b>。咳咳&hellip;我可没有开车??（斜眼笑）,2017-06-13 21:04:37,3
303241712916,比别的干衣机又快烘干,干衣机好装又好用，<b>比别的干衣机又快烘干</b>。很不错一次购物，好品牌又好用。,2017-03-07 18:52:31,0
301270732494,物流给力,u盘打开包装扫了二维码是正品，内存测试在正常范围内，外观与描述一致，<b>物流给力</b>。我觉得很满意,2017-02-16 20:24:10,0
313237816814,速度还可以,<b>速度还可以</b>，显示是日本生产的，质感跟我朋友前几天在这家买的不太一样，我朋友买的是菲律宾生产的，我的是日本生产的，不过速度都相似就是了,2017-06-08 12:57:47,0
